Disease Category,Disease,January,February,March,April,May,June,July,August,September,October,November,December,Yearly Cases,Yearly Rate,Year
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",14,11,8,9,6,12,9,11,6,9,11,13,119,4.0,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",13,7,10,5,6,6,10,9,9,10,16,18,119,4.0,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",23,20,33,20,27,27,23,18,12,29,19,40,291,9.8,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",32,40,37,33,34,16,14,14,16,16,15,25,292,9.8,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",24,32,20,22,25,20,14,12,16,19,33,24,263,8.0,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",1,2,0,0,2,2,0,0,0,0,1,1,9,0.3,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",0,0,0,0,0,0,0,1,1,0,1,1,4,0.1,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",1,0,2,0,0,1,2,1,0,1,0,1,9,0.3,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",0,1,0,1,1,0,0,0,0,0,0,0,3,0.1,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",0,1,0,1,0,1,0,0,1,0,1,0,5,19.1,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,2,2,2,4,2,8,14,12,9,14,8,0,77,2.6,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,1,1,1,2,6,5,3,6,12,4,8,2,51,1.7,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,1,2,2,3,2,4,8,12,5,6,2,3,50,1.7,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,2,2,1,2,6,6,11,12,9,3,6,4,64,2.2,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,2,0,3,0,2,2,10,5,22,7,2,4,59,1.8,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,,,,,,130,238,107,16,3,0,3,,16.758196089776725,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,4,4,4,3,2,3,2,1,1,1,1,1,27,0.9,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,5,15,5,7,11,22,50,44,33,23,15,7,237,8.0,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,8,1,10,12,21,32,19,8,11,5,19,15,163,5.0,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,3,4,3,1,2,5,3,2,3,3,3,4,36,1.2,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,8,4,2,2,0,1,1,4,1,4,3,4,34,1.1,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,9,2,1,4,10,4,2,1,1,1,3,2,40,1.3,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,12,2,1,3,3,3,7,2,3,1,0,1,38,1.3,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,18,27,20,22,27,28,24,31,13,25,26,23,284,9.6,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,19,25,23,25,18,27,24,31,32,20,24,31,299,10.1,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,30,18,33,25,23,36,31,38,30,29,21,27,341,11.5,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,25,27,27,31,45,39,36,30,37,37,25,17,376,12.7,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,21,13,32,19,29,25,34,37,29,27,21,31,313,9.6,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",72,79,73,75,70,89,79,76,55,59,46,59,944,28.9,2025
Enteric Food and Waterborne Diseases,Amebiasis,6,4,4,8,2,12,11,16,12,10,8,8,101,3.4,2021
Enteric Food and Waterborne Diseases,Amebiasis,6,10,8,11,20,18,19,10,9,11,13,13,148,5.0,2022
Enteric Food and Waterborne Diseases,Amebiasis,16,9,11,15,14,7,9,9,19,10,7,15,141,4.8,2023
Enteric Food and Waterborne Diseases,Amebiasis,12,13,8,6,8,12,6,4,7,4,8,8,96,3.2,2024
Enteric Food and Waterborne Diseases,Amebiasis,7,4,9,6,3,6,14,8,12,8,8,8,93,2.8,2025
Enteric Food and Waterborne Diseases,Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Enteric Food and Waterborne Diseases,Botulism,0,0,0,0,0,0,0,0,0,1,0,0,1,<0.1,2022
Enteric Food and Waterborne Diseases,Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Enteric Food and Waterborne Diseases,Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Enteric Food and Waterborne Diseases,Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Enteric Food and Waterborne Diseases,Campylobacter enteritis,25,25,8,7,19,27,51,44,42,55,26,24,353,11.9,2021
Enteric Food and Waterborne Diseases,Campylobacter enteritis,14,16,34,23,28,44,44,47,43,40,30,27,390,13.2,2022
Enteric Food and Waterborne Diseases,Campylobacter enteritis,21,41,20,36,33,43,73,89,59,43,28,23,509,17.2,2023
Enteric Food and Waterborne Diseases,Campylobacter enteritis,32,30,27,20,48,36,59,68,57,57,41,32,507,17.1,2024
