"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","Reportable Communicable Diseases
 Monthly Report - December 2022","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disease","2022 YTD Cases","2022 YTD Rate1","January","February","March","April","May","June","July","August","September","October","November","December","December 3 yr. Average2","2021 Total Cases","2021Total Rate1",NA,NA,NA,NA,NA,NA
"Sexually Transmitted and Bloodborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIDS","26","0.9","3","4","1","2","2","4","3","2","2","1","1","1","1.6666666666666667","18","0.6",NA,NA,NA,NA,NA,NA
"HIV","511","17.2","34","28","36","38","47","41","44","48","56","48","41","50","32","320","10.8",NA,NA,NA,NA,NA,NA
"Chlamydia","11915","401.8","774","814","1101","981","1026","1075","952","1019","1080","983","1181","929","901","10378","349.9",NA,NA,NA,NA,NA,NA
"Chancroid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Gonorrhea","5327","179.6","321","303","478","440","469","495","466","458","472","465","520","440","309.66666666666669","3740","126.1",NA,NA,NA,NA,NA,NA
"Hepatitis B - cases","4","0.1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA
"Hepatitis B - carriers","234","7.9","22","17","22","14","24","11","14","26","29","22","18","15","35.333333333333336","364","12.3",NA,NA,NA,NA,NA,NA
"Hepatitis B - unclassified3","544","18.3","32","26","50","46","43","46","51","39","64","38","62","47","22.333333333333332","310","10.5",NA,NA,NA,NA,NA,NA
"Hepatitis C","483","16.3","38","30","51","33","46","40","48","57","43","34","33","30","39.333333333333336","469","15.8",NA,NA,NA,NA,NA,NA
"Ophthalmia neonatorum","1","<0.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Syphilis, infectious","1724","58.1","130","128","141","144","136","137","156","167","138","137","172","138","109.33333333333333","1423","48",NA,NA,NA,NA,NA,NA
"Syphilis, other","666","22.5","39","46","51","51","47","53","53","67","65","71","71","52","30.333333333333332","431","14.5",NA,NA,NA,NA,NA,NA
"Enteric, Food and Waterborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amebiasis","148","5","6","10","8","11","20","18","19","10","9","11","13","13","9.3333333333333339","101","3.4",NA,NA,NA,NA,NA,NA
"Botulism","1","<0.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Campylobacter enteritis","390","13.2","14","16","34","23","28","44","44","47","43","40","30","27","23","353","11.9",NA,NA,NA,NA,NA,NA
"Cholera","2","<0.1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Cryptosporidiosis","69","2.2999999999999998","3","4","6","2","6","2","12","18","5","5","5","1","6.666666666666667","62","2.1",NA,NA,NA,NA,NA,NA
"Cyclosporiasis","154","5.2","0","0","0","1","12","79","43","9","4","1","2","3","1","15","0.5",NA,NA,NA,NA,NA,NA
"Food poisoning","20","0.7","0","0","9","0","2","0","0","5","4","0","0","0","<1","0","0",NA,NA,NA,NA,NA,NA
"Giardiasis","184","6.2","12","12","14","18","11","17","20","20","25","12","8","15","12.666666666666666","156","5.3",NA,NA,NA,NA,NA,NA
"Hepatitis A","18","0.6","2","1","1","1","1","0","1","0","5","1","2","3","1.3333333333333333","14","0.5",NA,NA,NA,NA,NA,NA
"Listeriosis","19","0.6","2","1","1","2","1","0","2","2","3","1","2","2","<1","20","0.7",NA,NA,NA,NA,NA,NA
"Paralytic shellfish poisoning","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Paratyphoid fever","11","0.4","0","1","1","3","0","2","0","1","3","0","0","0","<1","3","0.1",NA,NA,NA,NA,NA,NA
"Salmonellosis","324","10.9","17","16","18","23","45","27","36","32","33","37","20","20","23.666666666666668","254","8.6",NA,NA,NA,NA,NA,NA
"Shigellosis","116","3.9","3","6","10","5","8","7","9","10","31","12","8","7","6.666666666666667","65","2.2000000000000002",NA,NA,NA,NA,NA,NA
"Trichinosis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Typhoid fever","27","0.9","1","2","3","3","3","1","0","3","7","1","0","3","<1","5","0.2",NA,NA,NA,NA,NA,NA
"Verotoxin-producing E. coli infection","40","1.3","0","2","4","2","2","5","6","6","3","4","1","5","1","25","0.8",NA,NA,NA,NA,NA,NA
"Yersiniosis","80","2.7","1","5","9","6","6","3","9","7","12","10","7","5","3.6666666666666665","82","2.8",NA,NA,NA,NA,NA,NA
"Vaccine Preventable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acute flaccid paralysis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Adverse vaccine reactions","62","2.1","4","4","1","1","3","7","8","12","4","3","13","2","11","54","1.8",NA,NA,NA,NA,NA,NA
"Chickenpox","225","7.6","18","13","11","22","21","18","30","9","19","23","20","21","14.666666666666666","105","3.5",NA,NA,NA,NA,NA,NA
"COVID-19","140506","4737.6802812679443","46169","8292","11369","17323","8991","5977","11858","7859","5516","6907","4524","5721","NA","178767","6027.7916305455046",NA,NA,NA,NA,NA,NA
"Diphtheria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Haemophilus influenzae, invasive","26","0.9","0","0","1","0","1","0","1","0","2","5","10","6","2.3333333333333335","8","0.3",NA,NA,NA,NA,NA,NA
"Influenza - sporadic","3870","130.49138605117892","1","2","9","37","79","61","17","13","55","358","2345","893","257","17","0.57321797490181958",NA,NA,NA,NA,NA,NA
"Influenza - outbreak associated","235","7.9238955354075058","0","0","0","9","3","4","0","0","4","3","126","86","11","0","0",NA,NA,NA,NA,NA,NA
"Measles","1","<0.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Monkeypox4","497","16.758196089776725","NA","NA","NA","NA","NA","130","238","107","16","3","0","3","NA","NA","NA",NA,NA,NA,NA,NA,NA
"Mumps","9","0.3","1","0","1","0","0","0","0","1","1","1","2","2","1.6666666666666667","1","<0.1",NA,NA,NA,NA,NA,NA
"Pertussis","11","0.4","0","0","2","0","1","1","0","0","2","1","3","1","1.3333333333333333","0","0",NA,NA,NA,NA,NA,NA
"Rubella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Rubella, congenital syndrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"Tetanus","1","<0.1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
