"...1","...2","...3","Reportable Communicable Diseases
 Monthly Report - December 2023","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disease","2023 YTD Cases","2023 YTD Rate1","January","February","March","April","May","June","July","August","September","October","November","December","December 3 yr. Average2","2022 YTD Cases","2022 YTD Rate1","2022 Total Cases","2022 Total Rate1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sexually Transmitted and Bloodborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIDS","17","0.6","2","1","2","1","5","2","3","1","0","0","0","0","2","26","0.9","26","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV","732","24.7","56","54","55","47","75","70","71","71","47","78","60","48","33","511","17.2","511","17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydia","10926","368.4","1018","881","1131","1011","1150","1310","1289","1310","549","428","478","371","750","10438","352","10438","352",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chancroid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonorrhea","7215","243.3","484","433","524","456","599","694","724","697","697","672","680","555","302","4683","157.9","4683","157.9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - cases","4","0.1","0","0","0","0","0","0","0","2","0","0","0","2","<1","4","0.1","4","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - carriers","330","11.1","18","17","17","14","21","40","42","33","33","43","33","19","24","234","7.9","234","7.9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - unclassified3","534","18","52","44","76","51","50","30","34","34","25","34","52","52","31","544","18.3","544","18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis C4","584","19.7","44","38","45","45","33","58","61","53","54","51","63","39","33","483","16.3","483","16.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophthalmia neonatorum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","<0.1","1","<0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis, infectious","1312","44.2","122","113","145","96","101","131","131","109","102","90","102","70","112","1524","51.4","1524","51.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis, other","683","23","77","56","54","40","70","56","53","63","61","55","63","35","34","579","19.5","579","19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteric, Food and Waterborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amebiasis","141","4.8","16","9","11","15","14","7","9","9","19","10","7","15","9","148","5","148","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","<0.1","1","<0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylobacter enteritis","509","17.2","21","41","20","36","33","43","73","89","59","43","28","23","20","390","13.2","390","13.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cholera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","<0.1","2","<0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
