"...1","...2","...3","Reportable Communicable Diseases
 Monthly Report - December 2024","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disease","2024 YTD Cases","2024 YTD Rate1","January","February","March","April","May","June","July","August","September","October","November","December","December 3 yr. Average2","2023 YTD Cases","2023 YTD Rate1","2023 Total Cases","2023 Total Rate1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sexually Transmitted and Bloodborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIDS","8","0.3","0","2","0","1","0","1","0","1","1","1","1","0","1","23","0.8","23","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV","443","14.9","48","37","53","46","28","28","43","33","28","41","29","29","37","703","23.7","703","23.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydia","13945","470.2","1411","1239","1153","1204","1203","1035","1153","1125","1113","1241","1134","934","967","14776","498.2","14776","498.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chancroid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonorrhea","7068","238.3","669","556","495","542","549","539","697","667","632","696","574","452","433","7517","253.5","7517","253.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - cases","10","0.3","0","1","3","1","0","0","1","1","1","1","1","0","1","7","0.2","7","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - carriers","525","17.7","49","53","58","44","33","48","41","40","43","42","46","28","29","519","17.5","519","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis B - unclassified4","438","14.8","26","25","33","36","47","44","40","31","42","47","33","34","29","404","13.6","404","13.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis C","470","15.8","46","45","52","41","52","41","30","47","35","40","31","10","34","591","19.899999999999999","591","19.899999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophthalmia neonatorum","2","<0.1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis, early congenital","4","0.1","0","0","2","0","0","2","0","0","0","0","0","0","0","1","<0.1","1","<0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis, infectious","1162","39.200000000000003","119","113","108","104","117","113","90","81","90","82","82","63","113","1426","48.1","1426","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis, other5","690","23.3","57","72","74","61","62","57","50","64","57","51","42","43","48","806","27.2","806","27.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteric, Food and Waterborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amebiasis","96","3.2","12","13","8","6","8","12","6","4","7","4","8","8","12","142","4.8","142","4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylobacter enteritis","507","17.100000000000001","32","30","27","20","48","36","59","68","57","57","41","32","25","511","17.2","511","17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cholera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptosporidiosis","170","5.7","11","17","7","10","9","17","35","25","19","8","7","5","7","92","3.1","92","3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclosporiasis","117","3.9","1","0","2","1","8","21","60","19","3","0","1","1","3","163","5.5","163","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Food poisoning","24","0.8","1","0","0","13","7","0","0","0","0","0","1","2","0","9","0.3","9","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giardiasis","331","11.2","30","28","15","25","24","27","30","32","36","34","25","25","17","262","8.8000000000000007","262","8.8000000000000007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatitis A","30","1","4","4","4","3","1","1","2","1","2","4","3","1","2","46","1.6","46","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
