"Disease Category","Disease","January","February","March","April","May","June","July","August","September","October","November","December","December 3-year Average","2025 YTD Cases","2024 YTD Cases","2024 Total Cases","2024 Total Rate"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Group A Streptococcal disease, invasive (iGAS)","24","32","20","22","25","20","14","12","16","19","33","24","30",261,"303","303","9.3"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Group B Streptococcal disease, neonatal (GBS)","0","1","0","1","0","1","0","0","1","0","1","0","<1",5,"3","3","11.5"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Legionellosis","2","0","3","0","2","2","10","5","22","7","2","4","3",59,"64","64","2.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Leprosy","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Mpox","8","1","10","12","21","32","19","8","11","5","19","15","4",161,"237","237","7.2"
"Diseases Transmitted by Direct Contact and Respiratory Routes","SARS","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Tuberculosis","21","13","32","19","29","25","34","37","29","27","21","31","24",318,"371","371","11.3"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Tuberculosis infection, latent (LTBI)","72","79","73","75","70","89","79","76","55","59","46","59","67",832,"952","952","29.1"
"Enteric, Food and Waterborne Diseases","Amebiasis","7","4","9","6","3","6","14","8","12","8","8","8","13",93,"97","97","3.0"
"Enteric, Food and Waterborne Diseases","Botulism","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Enteric, Food and Waterborne Diseases","Campylobacter enteritis","23","31","35","33","57","56","62","70","67","49","50","29","28",562,"513","513","15.7"
"Enteric, Food and Waterborne Diseases","Cholera","0","0","0","0","0","0","1","0","0","0","0","0","0",1,"0","0","0.0"
"Enteric, Food and Waterborne Diseases","Cryptosporidiosis","9","4","6","11","5","7","12","9","13","10","5","4","6",95,"172","172","5.3"
"Enteric, Food and Waterborne Diseases","Cyclosporiasis","0","1","2","0","7","30","38","8","1","3","0","0","2",90,"116","116","3.5"
