"Disease Category","Disease","January","February","March","April","May","June","July","July 3-year Average","2026 YTD Cases","2025 YTD Cases","2025 Total Cases","2025 Total Rate"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Group A Streptococcal disease, invasive (iGAS)","27","27","17","12","29","14","12","17",138,"157","263","8.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Group B Streptococcal disease, neonatal (GBS)","2","0","0","0","0","1","0","<1",3,"3","5","19.1"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Legionellosis","4","0","8","9","3","15","20","10",59,"19","59","1.8"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Leprosy","0","0","0","0","0","0","0","0",0,"0","1","<0.1"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Mpox","7","5","3","1","3","5","0","24",24,"103","163","5.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","SARS","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Tuberculosis","24","19","27","19","26","22","21","33",158,"171","313","9.6"
"Diseases Transmitted by Direct Contact and Respiratory Routes","Tuberculosis infection, latent (LTBI)","57","74","84","76","64","89","76","86",520,"565","944","28.9"
"Enteric, Food and Waterborne Diseases","Amebiasis","4","6","3","8","8","7","8","10",44,"49","93","2.8"
"Enteric, Food and Waterborne Diseases","Botulism","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Enteric, Food and Waterborne Diseases","Campylobacter enteritis","33","27","43","23","39","55","86","65",306,"299","565","17.3"
"Enteric, Food and Waterborne Diseases","Cholera","0","0","0","0","0","0","0","<1",0,"1","1","<0.1"
"Enteric, Food and Waterborne Diseases","Cryptosporidiosis","6","9","6","9","22","9","30","21",91,"54","96","2.9"
"Enteric, Food and Waterborne Diseases","Cyclosporiasis","0","0","0","0","15","61","38","47",114,"78","90","2.8"
"Enteric, Food and Waterborne Diseases","Food poisoning","0","0","0","0","5","2","0","0",7,"9","18","0.6"
"Enteric, Food and Waterborne Diseases","Giardiasis","20","30","24","22","15","23","24","22",158,"163","286","8.7"
"Enteric, Food and Waterborne Diseases","Hepatitis A","2","2","3","0","6","2","3","3",18,"29","51","1.6"
"Enteric, Food and Waterborne Diseases","Listeriosis","0","2","0","0","1","0","0","4",3,"9","20","0.6"
"Enteric, Food and Waterborne Diseases","Paralytic shellfish poisoning","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Enteric, Food and Waterborne Diseases","Paratyphoid fever","1","2","0","1","0","1","3","<1",8,"12","17","0.5"
"Enteric, Food and Waterborne Diseases","Salmonellosis","33","38","47","42","33","29","34","45",256,"300","494","15.1"
"Enteric, Food and Waterborne Diseases","Shigellosis","30","12","23","13","21","29","17","12",145,"81","174","5.3"
