Disease Category,Disease,January,February,March,April,May,June,July,August,September,October,November,December,Yearly Cases,Year
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",1824,409,4506,4012,3657,2286,1679,8935,1424,9674,6912,520,45838,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",488,1535,3582,3811,8279,9863,434,9195,3257,8928,6873,3611,59856,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",7359,9654,4557,106,2615,6924,5574,4552,2547,3527,5514,1674,54603,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",1519,6224,1584,5881,5635,9891,4333,711,7527,8785,2045,6201,60336,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group A Streptococcal disease, invasive (iGAS)",1291,9044,4803,5925,9459,3150,1139,750,3733,4741,1307,3814,49156,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",1654,6227,4554,7428,5977,2664,6065,5820,3432,4374,1169,9980,59344,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",2803,8751,4010,2677,7573,6216,4422,9125,3598,5313,916,3752,59156,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",525,5168,6572,4386,1084,3456,9292,5155,3483,8179,6482,7517,61299,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",2340,4339,2287,4040,9197,8830,4304,9577,7019,9560,6543,5930,73966,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,"Group B Streptococcal disease, neonatal (GBS)",3593,2266,8348,8085,1489,771,1796,2504,2621,6916,9771,1040,49200,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,6304,6252,9763,7668,8669,4119,9064,188,1876,8797,4371,5573,72644,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,1827,4808,7123,2591,7433,53,4315,8201,2927,8317,1743,4889,54227,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,8317,9977,3258,2504,6126,2646,8837,8689,9,9813,5310,8005,73491,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,319,1832,5947,5038,3923,949,3946,9295,1290,1403,7962,1133,43037,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Legionellosis,8727,2060,2103,7787,9007,2705,4342,8645,9938,6932,3470,8835,74551,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,3295,5107,6537,6118,7177,8479,7397,1982,4061,3681,1049,5539,60422,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,344,9638,9075,3770,9641,3608,117,1163,964,3750,1104,514,43688,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,5413,1160,8423,3899,4562,7953,3510,8834,2167,9355,9440,7744,72460,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,3981,7749,6669,3119,1545,1588,7062,5804,6939,6735,7651,887,59729,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Leprosy,1612,993,6596,5559,1790,4073,3139,3116,8786,7350,2296,6912,52222,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,3006,4563,7579,4092,1235,7260,9016,1604,828,8856,241,1528,49808,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,3872,2724,6658,7956,7886,3502,6570,960,2697,6209,35,6396,55465,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,4345,7454,4673,6930,9105,7973,2536,3111,4861,3566,958,9489,65001,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,8883,998,5138,936,821,9571,7811,8238,8701,2579,931,8320,62927,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Mpox,1312,3044,1122,9749,1113,3853,6615,1964,9333,4033,9485,9740,61363,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,651,1343,6868,9562,9260,8565,5183,4272,3346,5147,3910,4351,62458,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,6484,2144,4915,7491,5180,1188,152,7508,9224,1638,1200,8808,55932,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,3492,8288,4345,2170,5718,1127,4002,6054,4669,2584,7179,8900,58528,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,4956,8666,128,9086,4905,1697,2200,4333,1891,1753,9064,2546,51225,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,SARS,4462,4616,9909,3450,5617,3335,4325,8280,8004,4114,832,1512,58456,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,6939,4533,722,58,5464,2143,4291,2647,7239,9038,7007,9189,59270,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,158,1832,1232,2442,8938,590,6049,9543,9052,2426,7041,2088,51391,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,685,5050,5974,653,5862,3441,4088,1684,5794,9173,6658,2532,51594,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,3878,2662,2900,6755,406,2938,5442,6745,4065,4371,2608,1771,44541,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,TB: Atypical mycobacterial infections,6267,634,7711,3644,3269,7541,5728,5000,3728,3652,387,3164,50725,2025
